"ID","EMAIL","FIRSTNAME","ACCOUNTID","LASTNAME","MAILINGADDRESS","MAILINGCITY","MAILINGSTATE","NAME","PHONE","TITLE"
"003Dp000004G7caIAC","rose@edge.com","Rose","001Dp00000CbkaQIAR","Gonzalez","","","","Rose Gonzalez","(512) 757-6000","SVP, Procurement"
"003Dp000004G7cbIAC","sean@edge.com","Sean","001Dp00000CbkaQIAR","Forbes","","","","Sean Forbes","(512) 757-6000","CFO"
"003Dp000004G7ccIAC","jrogers@burlington.com","Jack","001Dp00000CbkaRIAR","Rogers","","Burlington","NC","Jack Rogers","(336) 222-7000","VP, Facilities"
"003Dp000004G7cdIAC","pat@pyramid.net","Pat","001Dp00000CbkaSIAR","Stumuller","","Paris","","Pat Stumuller","(014) 427-4427","SVP, Administration and Finance"
"003Dp000004G7ceIAC","a_young@dickenson.com","Andy","001Dp00000CbkaTIAR","Young","","Lawrence","KS","Andy Young","(785) 241-6200","SVP, Operations"
"003Dp000004G7cfIAC","barr_tim@grandhotels.com","Tim","001Dp00000CbkaUIAR","Barr","","","","Tim Barr","(312) 596-1000","SVP, Administration and Finance"
"003Dp000004G7cgIAC","bond_john@grandhotels.com","John","001Dp00000CbkaUIAR","Bond","","","","John Bond","(312) 596-1000","VP, Facilities"
"003Dp000004G7chIAC","spavlova@uog.com","Stella","001Dp00000CbkaVIAR","Pavlova","","","","Stella Pavlova","(212) 842-5500","SVP, Production"
"003Dp000004G7ciIAC","lboyle@uog.com","Lauren","001Dp00000CbkaVIAR","Boyle","","","","Lauren Boyle","(212) 842-5500","SVP, Technology"
"003Dp000004G7cjIAC","b.levy@expressl&t.net","Babara","001Dp00000CbkaWIAR","Levy","","","","Babara Levy","(503) 421-7800","SVP, Operations"
"003Dp000004G7ckIAC","j.davis@expressl&t.net","Josh","001Dp00000CbkaWIAR","Davis","","","","Josh Davis","(503) 421-7800","Director, Warehouse Mgmt"
"003Dp000004G7clIAC","jane_gray@uoa.edu","Jane","001Dp00000CbkaXIAR","Grey","","","","Jane Grey","(520) 773-9050","Dean of Administration"
"003Dp000004G7cmIAC","asong@uog.com","Arthur","001Dp00000CbkaVIAR","Song","","","","Arthur Song","(212) 842-5500","CEO"
"003Dp000004G7cnIAC","ajames@uog.com","Ashley","001Dp00000CbkaYIAR","James","","","","Ashley James","+44 191 4956203","VP, Finance"
"003Dp000004G7coIAC","tripley@uog.com","Tom","001Dp00000CbkaZIAR","Ripley","","","","Tom Ripley","(650) 450-8810","Regional General Manager"
"003Dp000004G7cpIAC","ldcruz@uog.com","Liz","001Dp00000CbkaZIAR","D'Cruz","","","","Liz D'Cruz","(650) 450-8810","VP, Production"
"003Dp000004G7cqIAC","efrank@genepoint.com","Edna","001Dp00000CbkaaIAB","Frank","","","","Edna Frank","(650) 867-3450","VP, Technology"
"003Dp000004G7crIAC","agreen@uog.com","Avi","001Dp00000CbkaVIAR","Green","","","","Avi Green","(212) 842-5500","CFO"
"003Dp000004G7csIAC","","Siddartha","001Dp00000CbkabIAB","Nedaerk","","San Francisco","CA","Siddartha Nedaerk","",""
"003Dp000004G7ctIAC","","Jake","001Dp00000CbkabIAB","Llorrac","","","","Jake Llorrac","",""
