"ACCOUNTID","EMAIL","FIRSTNAME","LASTNAME","ID","MAILINGADDRESS","MAILINGCITY","MAILINGSTATE","NAME","PHONE","TITLE"
"001Dp00000CbkaQIAR","rose@edge.com","Rose","Gonzalez","003Dp000004G7caIAC","","","","Rose Gonzalez","(512) 757-6000","SVP, Procurement"
"001Dp00000CbkaQIAR","sean@edge.com","Sean","Forbes","003Dp000004G7cbIAC","","","","Sean Forbes","(512) 757-6000","CFO"
"001Dp00000CbkaRIAR","jrogers@burlington.com","Jack","Rogers","003Dp000004G7ccIAC","","Burlington","NC","Jack Rogers","(336) 222-7000","VP, Facilities"
"001Dp00000CbkaSIAR","pat@pyramid.net","Pat","Stumuller","003Dp000004G7cdIAC","","Paris","","Pat Stumuller","(014) 427-4427","SVP, Administration and Finance"
"001Dp00000CbkaTIAR","a_young@dickenson.com","Andy","Young","003Dp000004G7ceIAC","","Lawrence","KS","Andy Young","(785) 241-6200","SVP, Operations"
"001Dp00000CbkaUIAR","barr_tim@grandhotels.com","Tim","Barr","003Dp000004G7cfIAC","","","","Tim Barr","(312) 596-1000","SVP, Administration and Finance"
"001Dp00000CbkaUIAR","bond_john@grandhotels.com","John","Bond","003Dp000004G7cgIAC","","","","John Bond","(312) 596-1000","VP, Facilities"
"001Dp00000CbkaVIAR","spavlova@uog.com","Stella","Pavlova","003Dp000004G7chIAC","","","","Stella Pavlova","(212) 842-5500","SVP, Production"
"001Dp00000CbkaVIAR","lboyle@uog.com","Lauren","Boyle","003Dp000004G7ciIAC","","","","Lauren Boyle","(212) 842-5500","SVP, Technology"
"001Dp00000CbkaWIAR","b.levy@expressl&t.net","Babara","Levy","003Dp000004G7cjIAC","","","","Babara Levy","(503) 421-7800","SVP, Operations"
"001Dp00000CbkaWIAR","j.davis@expressl&t.net","Josh","Davis","003Dp000004G7ckIAC","","","","Josh Davis","(503) 421-7800","Director, Warehouse Mgmt"
"001Dp00000CbkaXIAR","jane_gray@uoa.edu","Jane","Grey","003Dp000004G7clIAC","","","","Jane Grey","(520) 773-9050","Dean of Administration"
"001Dp00000CbkaVIAR","asong@uog.com","Arthur","Song","003Dp000004G7cmIAC","","","","Arthur Song","(212) 842-5500","CEO"
"001Dp00000CbkaYIAR","ajames@uog.com","Ashley","James","003Dp000004G7cnIAC","","","","Ashley James","+44 191 4956203","VP, Finance"
"001Dp00000CbkaZIAR","tripley@uog.com","Tom","Ripley","003Dp000004G7coIAC","","","","Tom Ripley","(650) 450-8810","Regional General Manager"
"001Dp00000CbkaZIAR","ldcruz@uog.com","Liz","D'Cruz","003Dp000004G7cpIAC","","","","Liz D'Cruz","(650) 450-8810","VP, Production"
"001Dp00000CbkaaIAB","efrank@genepoint.com","Edna","Frank","003Dp000004G7cqIAC","","","","Edna Frank","(650) 867-3450","VP, Technology"
"001Dp00000CbkaVIAR","agreen@uog.com","Avi","Green","003Dp000004G7crIAC","","","","Avi Green","(212) 842-5500","CFO"
"001Dp00000CbkabIAB","","Siddartha","Nedaerk","003Dp000004G7csIAC","","San Francisco","CA","Siddartha Nedaerk","",""
"001Dp00000CbkabIAB","","Jake","Llorrac","003Dp000004G7ctIAC","","","","Jake Llorrac","",""
"001Dp00000CbkaaIAB","jpoole@genepoint.com","Jordan","Poole","003Dp000003LLlEIAW","","","","Jordan Poole","(650) 867-3450","VP, Technology"
"001Dp00000CbkaaIAB","mmonk@genepoint.com","Malik","Monk","003Dp000003LLlFIAW","","","","Malik Monk","916-353-2422","Marketing"
